,Day,Banned,Scam,Collapse,Crash,Fall,Fraud,Illegal,Ponzi,Tulip,Worst,Bitcoin,Negative
110,2018-01-02,29,39,0,5,4,12,30,25,12,16,31,18.875
111,2018-01-03,7,47,13,4,3,52,40,14,8,31,31,23.0
112,2018-01-04,48,36,16,6,7,47,17,7,3,16,30,22.625
113,2018-01-05,28,48,13,5,4,30,47,17,9,16,30,24.5
114,2018-01-06,31,37,26,4,6,26,19,30,7,26,25,22.75
115,2018-01-07,31,47,7,3,3,13,26,4,10,17,27,17.625
116,2018-01-08,40,38,10,5,9,40,28,3,5,15,29,21.625
117,2018-01-09,0,58,25,5,3,51,17,3,6,30,28,20.375
118,2018-01-10,41,43,10,6,12,34,45,13,7,23,29,25.625
119,2018-01-11,34,55,13,8,11,17,40,17,8,46,32,24.375
120,2018-01-12,28,33,13,4,3,54,35,14,8,39,27,23.5
121,2018-01-13,15,37,0,2,2,39,45,19,4,17,23,20.125
122,2018-01-14,30,29,7,5,3,0,51,8,4,17,21,16.5
123,2018-01-15,34,38,19,3,0,11,22,13,3,30,22,17.5
124,2018-01-16,73,58,57,37,34,6,33,10,14,45,43,35.625
125,2018-01-17,53,68,97,50,52,33,38,100,16,67,57,57.125
126,2018-01-18,13,35,45,17,20,11,28,26,7,38,40,23.125
127,2018-01-19,49,49,36,10,12,41,17,24,9,23,29,29.625
128,2018-01-20,15,24,25,7,2,32,45,8,10,0,24,20.125
129,2018-01-21,22,30,11,7,15,6,38,22,7,17,23,18.875
130,2018-01-22,40,25,9,7,14,17,28,16,7,22,26,19.5
131,2018-01-23,13,31,19,6,8,22,28,10,7,30,25,17.25
132,2018-01-24,13,34,19,4,4,11,16,6,4,44,23,13.375
133,2018-01-25,13,41,26,3,4,6,33,26,4,30,22,19.125
134,2018-01-26,0,22,20,4,11,0,17,24,8,16,23,12.75
135,2018-01-27,15,33,36,3,3,19,13,22,5,26,19,18.25
136,2018-01-28,15,33,15,3,8,6,0,4,5,17,18,10.75
137,2018-01-29,27,32,25,3,5,11,38,23,4,15,18,20.625
138,2018-01-30,13,42,16,5,9,45,22,10,4,37,21,20.125
139,2018-01-31,27,24,19,7,11,11,11,23,6,30,22,16.5
140,2018-02-01,94,38,19,14,23,28,56,10,8,53,29,34.5
141,2018-02-02,55,34,43,29,25,18,69,27,9,78,38,35.0
142,2018-02-03,15,28,18,9,9,19,13,22,12,17,25,17.0
143,2018-02-04,23,22,21,8,10,0,43,4,5,50,21,16.0
144,2018-02-05,40,22,47,28,30,17,55,10,16,75,37,29.625
145,2018-02-06,100,27,44,35,25,33,22,36,21,52,46,38.5
146,2018-02-07,33,22,16,7,8,11,6,23,8,22,30,15.875
147,2018-02-08,34,26,16,7,7,29,6,17,7,15,24,17.75
148,2018-02-09,21,30,13,6,11,6,52,21,4,31,22,19.75
149,2018-02-10,15,22,22,4,3,6,19,8,0,26,18,11.875
150,2018-02-11,0,26,15,3,6,13,19,8,0,17,16,10.875
151,2018-02-12,7,23,6,3,4,11,51,10,4,23,18,14.5
152,2018-02-13,14,29,0,3,9,28,11,23,4,30,16,14.75
153,2018-02-14,7,20,0,2,1,6,39,0,4,15,16,9.625
154,2018-02-15,27,21,19,2,4,11,6,10,4,23,18,12.75
155,2018-02-16,0,24,7,1,4,41,23,3,0,16,16,12.75
156,2018-02-17,39,30,0,2,0,26,19,8,10,17,15,16.5
157,2018-02-18,0,34,7,3,3,6,13,4,2,34,16,8.625
158,2018-02-19,0,36,9,2,3,17,6,3,0,0,15,9.25
159,2018-02-20,20,27,6,2,9,0,16,10,4,30,16,11.5
160,2018-02-21,20,27,12,2,3,6,0,13,0,22,16,10.125
161,2018-02-22,7,21,6,2,3,17,17,13,3,45,15,10.875
162,2018-02-23,7,23,7,1,4,6,0,7,2,15,14,7.0
163,2018-02-24,15,31,0,1,3,6,13,7,2,26,12,9.625
164,2018-02-25,0,15,7,2,4,25,18,4,2,17,11,9.375
165,2018-02-26,7,19,12,2,3,6,16,3,0,15,13,8.25
166,2018-02-27,7,25,0,1,0,22,5,6,2,15,13,8.375
167,2018-02-28,6,22,6,1,3,22,11,3,5,15,12,9.75
168,2018-03-01,6,19,6,1,0,5,0,6,2,15,11,5.5
169,2018-03-02,0,36,7,1,0,12,28,3,2,0,11,11.0
170,2018-03-03,15,12,7,1,0,0,19,7,2,0,11,7.75
171,2018-03-04,0,25,0,1,0,0,6,7,0,17,10,4.75
172,2018-03-05,0,22,12,1,1,11,21,6,0,14,11,9.125
173,2018-03-06,6,35,6,1,1,5,11,0,2,22,11,8.25
174,2018-03-07,0,15,13,2,4,6,16,3,0,0,13,7.125
175,2018-03-08,13,21,0,3,0,17,11,3,4,45,13,8.625
176,2018-03-09,7,14,0,5,11,23,17,10,6,0,14,11.0
177,2018-03-10,0,17,7,2,3,0,0,0,2,0,10,3.625
178,2018-03-11,0,22,7,2,1,0,0,4,0,25,10,4.25
179,2018-03-12,13,29,6,2,3,17,16,3,2,29,11,11.125
180,2018-03-13,0,38,0,1,1,17,11,10,2,0,10,9.875
181,2018-03-14,20,16,6,4,9,11,5,0,2,29,12,8.625
182,2018-03-15,40,20,22,4,11,17,17,0,2,0,14,16.125
